t; v
1940; 52.4
1941; 50.5
1942; 54.9
1943; 79.2
1944; 97.6
1945; 117.5
1946; 121.7
1947; 109.6
1948; 98.3
1949; 93
1950; 93.9
1951; 79.5
1952; 74.3
1953; 71.2
1954; 71.6
1955; 69.4
1956; 63.8
1957; 60.4
1958; 60.7
1959; 58.4
1960; 56
1961; 55
1962; 53.3
1963; 51.7
1964; 49.3
1965; 46.9
1966; 43.6
1967; 41.8
1968; 42.5
1969; 38.5
1970; 37.6
1971; 37.7
1972; 36.9
1973; 35.6
1974; 33.6
1975; 34.7
1976; 36.2
1977; 35.8
1978; 35
1979; 33.1
1980; 33.3
1981; 32.5
1982; 35.2
1983; 39.9
1984; 40.8
1985; 43.9
1986; 48.2
1987; 50.5
1988; 51.9
1989; 53.1
1990; 55.9
1991; 60.7
1992; 64.4
1993; 66.3
1994; 66.9
1995; 67.2
1996; 67.3
1997; 65.6
1998; 63.5
1999; 61.4
2000; 58
2001; 57.4
2002; 59.7
2003; 62.4
2004; 63.7
2005; 65.7
2006; 67.5
2007; 68.7
2008; 69.3
2009; 69.8
2010; 70